时刻,事件,快充1,快充2,慢充1,慢充2,慢充3,等候区
7:05,"(A,V13,F,110)","(V3,55.00,60.50)","(V4,50.00,55.00)","(V1,7.58,8.34)","(V5,4.67,5.14)","(V6,4.08,4.49)","(V13,F,110.00)"
,,"(V7,0.00,0.00)","(V9,0.00,0.00)",-,"(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V11,0.00,0.00)","(V12,0.00,0.00)",-,-,-,
7:10,"(A,V14,F,95)","(V3,60.00,66.00)","(V4,55.00,60.50)","(V1,8.17,8.99)","(V5,5.25,5.78)","(V6,4.67,5.14)","(V13,F,110.00)-(V14,F,95.00)"
,,"(V7,0.00,0.00)","(V9,0.00,0.00)",-,"(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V11,0.00,0.00)","(V12,0.00,0.00)",-,-,-,
7:15,"(A,V15,T,10)","(V3,65.00,71.50)","(V4,60.00,66.00)","(V1,8.75,9.63)","(V5,5.83,6.41)","(V6,5.25,5.78)","(V13,F,110.00)-(V14,F,95.00)"
,,"(V7,0.00,0.00)","(V9,0.00,0.00)",-,"(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V11,0.00,0.00)","(V12,0.00,0.00)",-,-,"(V15,0.00,0.00)",
7:20,"(A,V16,F,60)","(V3,70.00,77.00)","(V4,65.00,71.50)","(V1,9.33,10.26)","(V5,6.42,7.06)","(V6,5.83,6.41)","(V13,F,110.00)-(V14,F,95.00)-(V16,F,60.00)"
,,"(V7,0.00,0.00)","(V9,0.00,0.00)",-,"(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V11,0.00,0.00)","(V12,0.00,0.00)",-,-,"(V15,0.00,0.00)",
7:25,"(A,V17,T,10)","(V3,75.00,82.50)","(V4,70.00,77.00)","(V1,9.92,10.91)","(V5,7.00,7.70)","(V6,6.42,7.06)","(V13,F,110.00)-(V14,F,95.00)-(V16,F,60.00)"
,,"(V7,0.00,0.00)","(V9,0.00,0.00)","(V17,0.00,0.00)","(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V11,0.00,0.00)","(V12,0.00,0.00)",-,-,"(V15,0.00,0.00)",
7:30,"(A,V18,T,7.5)","(V3,80.00,88.00)","(V4,75.00,82.50)","(V1,10.50,11.55)","(V5,7.58,8.34)","(V6,7.00,7.70)","(V13,F,110.00)-(V14,F,95.00)-(V16,F,60.00)"
,,"(V7,0.00,0.00)","(V9,0.00,0.00)","(V17,0.00,0.00)","(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V11,0.00,0.00)","(V12,0.00,0.00)",-,"(V18,0.00,0.00)","(V15,0.00,0.00)",
7:35,"(A,V19,F,75)","(V3,85.00,93.50)","(V4,80.00,88.00)","(V1,11.08,12.19)","(V5,8.17,8.99)","(V6,7.58,8.34)","(V13,F,110.00)-(V14,F,95.00)-(V16,F,60.00)-(V19,F,75.00)"
,,"(V7,0.00,0.00)","(V9,0.00,0.00)","(V17,0.00,0.00)","(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V11,0.00,0.00)","(V12,0.00,0.00)",-,"(V18,0.00,0.00)","(V15,0.00,0.00)",
7:40,"(A,V20,F,95)","(V3,90.00,99.00)","(V4,85.00,93.50)","(V1,11.67,12.84)","(V5,8.75,9.63)","(V6,8.17,8.99)","(V13,F,110.00)-(V14,F,95.00)-(V16,F,60.00)-(V19,F,75.00)-(V20,F,95.00)"
,,"(V7,0.00,0.00)","(V9,0.00,0.00)","(V17,0.00,0.00)","(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V11,0.00,0.00)","(V12,0.00,0.00)",-,"(V18,0.00,0.00)","(V15,0.00,0.00)",
7:45,"(A,V21,F,95)","(V3,95.00,104.50)","(V4,90.00,99.00)","(V1,12.25,13.48)","(V5,9.33,10.26)","(V6,8.75,9.63)","(V13,F,110.00)-(V14,F,95.00)-(V16,F,60.00)-(V19,F,75.00)-(V20,F,95.00)-(V21,F,95.00)"
,,"(V7,0.00,0.00)","(V9,0.00,0.00)","(V17,0.00,0.00)","(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V11,0.00,0.00)","(V12,0.00,0.00)",-,"(V18,0.00,0.00)","(V15,0.00,0.00)",
7:50,"(A,V22,F,70)","(V7,0.00,0.00)","(V4,95.00,104.50)","(V1,12.83,14.11)","(V5,9.92,10.91)","(V6,9.33,10.26)","(V14,F,95.00)-(V16,F,60.00)-(V19,F,75.00)-(V20,F,95.00)-(V21,F,95.00)-(V22,F,70.00)"
,,"(V11,0.00,0.00)","(V9,0.00,0.00)","(V17,0.00,0.00)","(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V13,0.00,0.00)","(V12,0.00,0.00)",-,"(V18,0.00,0.00)","(V15,0.00,0.00)",
7:55,"(A,V23,F,80)","(V7,5.00,5.50)","(V4,100.00,110.00)","(V1,13.42,14.76)","(V5,10.50,11.55)","(V6,9.92,10.91)","(V14,F,95.00)-(V16,F,60.00)-(V19,F,75.00)-(V20,F,95.00)-(V21,F,95.00)-(V22,F,70.00)-(V23,F,80.00)"
,,"(V11,0.00,0.00)","(V9,0.00,0.00)","(V17,0.00,0.00)","(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V13,0.00,0.00)","(V12,0.00,0.00)",-,"(V18,0.00,0.00)","(V15,0.00,0.00)",
8:00,"(A,V24,T,5)","(V7,10.00,11.00)","(V4,105.00,115.50)","(V1,14.00,15.40)","(V5,11.08,12.19)","(V6,10.50,11.55)","(V14,F,95.00)-(V16,F,60.00)-(V19,F,75.00)-(V20,F,95.00)-(V21,F,95.00)-(V22,F,70.00)-(V23,F,80.00)-(V24,T,5.00)"
,,"(V11,0.00,0.00)","(V9,0.00,0.00)","(V17,0.00,0.00)","(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V13,0.00,0.00)","(V12,0.00,0.00)",-,"(V18,0.00,0.00)","(V15,0.00,0.00)",
8:20,"(A,V25,T,15)","(V7,30.00,49.00)","(V9,5.00,9.50)","(V1,16.33,19.83)","(V5,13.42,16.62)","(V6,12.83,15.98)","(V16,F,60.00)-(V19,F,75.00)-(V20,F,95.00)-(V21,F,95.00)-(V22,F,70.00)-(V23,F,80.00)-(V24,T,5.00)-(V25,T,15.00)"
,,"(V11,0.00,0.00)","(V12,0.00,0.00)","(V17,0.00,0.00)","(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V13,0.00,0.00)","(V14,0.00,0.00)",-,"(V18,0.00,0.00)","(V15,0.00,0.00)",
8:25,"(B,T1,O,0)","(V7,35.00,58.50)","(V9,10.00,19.00)","(V1,16.92,20.94)","(V5,14.00,17.73)","(V6,13.42,17.09)","(V16,F,60.00)-(V19,F,75.00)-(V20,F,95.00)-(V21,F,95.00)-(V22,F,70.00)-(V23,F,80.00)-(V24,T,5.00)-(V25,T,15.00)"
,,"(V11,0.00,0.00)","(V12,0.00,0.00)","(V17,0.00,0.00)","(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V13,0.00,0.00)","(V14,0.00,0.00)",-,"(V18,0.00,0.00)","(V15,0.00,0.00)",
8:30,"(A,V26,T,20)","(V7,40.00,68.00)","(V9,15.00,28.50)","(V1,16.92,20.94)","(V5,14.58,18.84)","(V6,14.00,18.20)","(V16,F,60.00)-(V19,F,75.00)-(V20,F,95.00)-(V21,F,95.00)-(V22,F,70.00)-(V23,F,80.00)-(V24,T,5.00)-(V25,T,15.00)-(V26,T,20.00)"
,,"(V11,0.00,0.00)","(V12,0.00,0.00)",-,"(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V13,0.00,0.00)","(V14,0.00,0.00)",-,"(V18,0.00,0.00)","(V15,0.00,0.00)",
8:35,"(A,V27,T,25)","(V7,45.00,77.50)","(V9,20.00,38.00)","(V1,16.92,20.94)","(V5,15.17,19.95)","(V6,14.58,19.31)","(V16,F,60.00)-(V19,F,75.00)-(V20,F,95.00)-(V21,F,95.00)-(V22,F,70.00)-(V23,F,80.00)-(V24,T,5.00)-(V25,T,15.00)-(V26,T,20.00)-(V27,T,25.00)"
,,"(V11,0.00,0.00)","(V12,0.00,0.00)",-,"(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V13,0.00,0.00)","(V14,0.00,0.00)",-,"(V18,0.00,0.00)","(V15,0.00,0.00)",
8:50,"(B,F1,O,0)","(V7,60.00,106.00)","(V9,35.00,66.50)","(V1,16.92,20.94)","(V5,16.92,23.27)","(V6,16.33,22.63)","(V16,F,60.00)-(V19,F,75.00)-(V20,F,95.00)-(V21,F,95.00)-(V22,F,70.00)-(V23,F,80.00)-(V24,T,5.00)-(V25,T,15.00)-(V26,T,20.00)-(V27,T,25.00)"
,,"(V11,0.00,0.00)","(V12,0.00,0.00)",-,"(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V13,0.00,0.00)","(V14,0.00,0.00)",-,"(V18,0.00,0.00)","(V15,0.00,0.00)",
9:00,"(A,V28,F,30)","(V7,60.00,106.00)","(V9,45.00,85.50)","(V1,16.92,20.94)","(V5,18.08,25.49)","(V6,17.50,24.85)","(V16,F,60.00)-(V19,F,75.00)-(V20,F,95.00)-(V21,F,95.00)-(V22,F,70.00)-(V23,F,80.00)-(V24,T,5.00)-(V25,T,15.00)-(V26,T,20.00)-(V27,T,25.00)"
,,"(V11,0.00,0.00)","(V12,0.00,0.00)",-,"(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V13,0.00,0.00)","(V14,0.00,0.00)",-,"(V18,0.00,0.00)","(V15,0.00,0.00)",
9:10,"(A,V1,O,0)","(V7,60.00,106.00)","(V9,55.00,104.50)",-,"(V5,19.25,27.71)","(V6,18.67,27.07)","(V16,F,60.00)-(V19,F,75.00)-(V20,F,95.00)-(V21,F,95.00)-(V22,F,70.00)-(V23,F,80.00)-(V24,T,5.00)-(V25,T,15.00)-(V26,T,20.00)-(V27,T,25.00)"
,,"(V11,0.00,0.00)","(V12,0.00,0.00)",-,"(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V13,0.00,0.00)","(V14,0.00,0.00)",-,"(V18,0.00,0.00)","(V15,0.00,0.00)",
9:15,"(B,T1,O,1)","(V7,60.00,106.00)","(V9,60.00,114.00)","(V17,0.00,0.00)","(V5,19.83,28.81)","(V6,19.25,28.18)","(V16,F,60.00)-(V19,F,75.00)-(V20,F,95.00)-(V21,F,95.00)-(V22,F,70.00)-(V23,F,80.00)-(V24,T,5.00)-(V25,T,15.00)-(V26,T,20.00)-(V27,T,25.00)"
,,"(V11,0.00,0.00)","(V12,0.00,0.00)",-,"(V8,0.00,0.00)","(V10,0.00,0.00)",
,,"(V13,0.00,0.00)","(V14,0.00,0.00)",-,"(V18,0.00,0.00)","(V15,0.00,0.00)",
9:20,"(A,V27,O,0)","(V7,60.00,106.00)","(V9,65.00,123.50)","(V17,0.58,1.11)","(V8,0.35,0.67)","(V6,19.83,29.28)","(V16,F,60.00)-(V19,F,75.00)-(V20,F,95.00)-(V21,F,95.00)-(V22,F,70.00)-(V23,F,80.00)-(V24,T,5.00)-(V25,T,15.00)-(V26,T,20.00)"
,,"(V11,0.00,0.00)","(V12,0.00,0.00)",-,"(V18,0.00,0.00)","(V10,0.00,0.00)",
,,"(V13,0.00,0.00)","(V14,0.00,0.00)",-,-,"(V15,0.00,0.00)",
9:25,"(C,V21,O,35)","(V7,60.00,106.00)","(V9,70.00,133.00)","(V17,1.17,2.22)","(V8,0.93,1.77)","(V10,0.35,0.67)","(V16,F,60.00)-(V19,F,75.00)-(V20,F,95.00)-(V21,F,35.00)-(V22,F,70.00)-(V23,F,80.00)-(V24,T,5.00)-(V25,T,15.00)-(V26,T,20.00)"
,,-,"(V12,0.00,0.00)",-,"(V18,0.00,0.00)","(V15,0.00,0.00)",
,,-,"(V14,0.00,0.00)",-,-,-,
9:30,"(A,V19,O,0)","(V7,60.00,106.00)","(V9,75.00,142.50)","(V17,1.75,3.33)","(V8,1.52,2.88)","(V10,0.93,1.77)","(V16,F,60.00)-(V20,F,95.00)-(V21,F,35.00)-(V22,F,70.00)-(V23,F,80.00)-(V24,T,5.00)-(V25,T,15.00)-(V26,T,20.00)"
,,-,"(V12,0.00,0.00)",-,"(V18,0.00,0.00)","(V15,0.00,0.00)",
,,-,"(V14,0.00,0.00)",-,-,-,
9:35,"(A,V28,O,0)","(V7,60.00,106.00)","(V9,80.00,152.00)","(V17,2.33,4.43)","(V8,2.10,3.99)","(V10,1.52,2.88)","(V16,F,60.00)-(V20,F,95.00)-(V21,F,35.00)-(V22,F,70.00)-(V23,F,80.00)-(V24,T,5.00)-(V25,T,15.00)-(V26,T,20.00)"
,,-,"(V12,0.00,0.00)",-,"(V18,0.00,0.00)","(V15,0.00,0.00)",
,,-,"(V14,0.00,0.00)",-,-,-,
9:40,"(C,V23,O,40)","(V7,60.00,106.00)","(V9,85.00,161.50)","(V17,2.92,5.54)","(V8,2.68,5.10)","(V10,2.10,3.99)","(V16,F,60.00)-(V20,F,95.00)-(V21,F,35.00)-(V22,F,70.00)-(V23,F,40.00)-(V24,T,5.00)-(V25,T,15.00)-(V26,T,20.00)"
,,-,"(V12,0.00,0.00)",-,"(V18,0.00,0.00)","(V15,0.00,0.00)",
,,-,"(V14,0.00,0.00)",-,-,-,
9:50,"(A,V29,T,30)","(V7,60.00,106.00)","(V9,95.00,180.50)","(V17,4.08,7.76)","(V8,3.85,7.32)","(V10,3.27,6.21)","(V16,F,60.00)-(V20,F,95.00)-(V21,F,35.00)-(V22,F,70.00)-(V23,F,40.00)"
,,-,"(V12,0.00,0.00)","(V24,0.00,0.00)","(V18,0.00,0.00)","(V15,0.00,0.00)",
,,-,"(V14,0.00,0.00)","(V25,0.00,0.00)","(V29,0.00,0.00)","(V26,0.00,0.00)",
9:55,"(C,V14,O,30)","(V7,60.00,106.00)","(V9,100.00,190.00)","(V17,4.67,8.87)","(V8,4.43,8.42)","(V10,3.85,7.32)","(V14,F,30.00)-(V16,F,60.00)-(V20,F,95.00)-(V21,F,35.00)-(V22,F,70.00)-(V23,F,40.00)"
,,-,"(V12,0.00,0.00)","(V24,0.00,0.00)","(V18,0.00,0.00)","(V15,0.00,0.00)",
,,-,-,"(V25,0.00,0.00)","(V29,0.00,0.00)","(V26,0.00,0.00)",
10:00,"(A,V30,T,10)",-,"(V12,0.00,0.00)","(V17,5.25,9.98)","(V8,5.02,9.53)","(V10,4.43,8.42)","(V14,F,30.00)-(V16,F,60.00)-(V20,F,95.00)-(V21,F,35.00)-(V22,F,70.00)-(V23,F,40.00)-(V30,T,10.00)"
,,-,"(V7,60.00,106.00)","(V24,0.00,0.00)","(V18,0.00,0.00)","(V15,0.00,0.00)",
,,-,"(V11,0.00,0.00)","(V25,0.00,0.00)","(V29,0.00,0.00)","(V26,0.00,0.00)",
10:50,"(B,F1,O,1)","(V11,1.00,1.90)","(V12,50.00,95.00)","(V24,1.05,2.00)","(V8,10.85,20.62)","(V15,0.23,0.44)","(V14,F,30.00)-(V16,F,60.00)-(V20,F,95.00)-(V21,F,35.00)-(V22,F,70.00)-(V23,F,40.00)"
,,-,"(V7,60.00,106.00)","(V25,0.00,0.00)","(V18,0.00,0.00)","(V26,0.00,0.00)",
,,-,"(V13,0.00,0.00)","(V30,0.00,0.00)","(V29,0.00,0.00)",-,
1:35+1,调度结束,-,-,-,-,-,-
,,-,-,-,-,-,
,,-,-,-,-,-,
